residual_scale,episodes,robust_mean_hits,robust_std_hits,robust_mean_reward,robust_std_reward,robust_mean_sim_time,robust_survival_rate,nominal_mean_hits,nominal_std_hits,nominal_mean_reward,nominal_std_reward,nominal_mean_sim_time,nominal_survival_rate,fsm_mean_hits,fsm_std_hits,fsm_mean_reward,fsm_std_reward,fsm_mean_sim_time,fsm_survival_rate,margin_vs_fsm,margin_vs_nominal,margin_vs_best_baseline
0.008,120,24.116666666666667,10.619308933363895,162.71949586343192,72.98570360744512,14.137191666667029,0.45,15.441666666666666,9.24823932192261,102.86927036733472,64.62410758306204,7.843075000000039,0.05,19.6,10.592764826364581,131.26599126107268,73.57916259804368,10.7111416666669,0.2,4.516666666666666,8.675,4.516666666666666
0.009,120,24.791666666666668,9.145942482264411,167.36471785000447,63.37244906365126,14.851833333333639,0.4,16.45,10.719802547932806,109.22879007962852,74.3245658261875,8.272266666666818,0.06666666666666667,19.6,10.592764826364581,131.26599126107268,73.57916259804368,10.7111416666669,0.2,5.191666666666666,8.341666666666669,5.191666666666666
0.01,120,24.783333333333335,10.409277379124623,167.58581054190597,71.4884308941306,14.845391666667034,0.49166666666666664,13.658333333333333,8.177709370939734,90.10966114152247,56.55030569763827,6.922033333333329,0.016666666666666666,19.6,10.592764826364581,131.26599126107268,73.57916259804368,10.7111416666669,0.2,5.183333333333334,11.125000000000002,5.183333333333334
0.011,120,21.275,10.608143491362346,142.4524382452263,72.29431218875456,12.76771666666673,0.3333333333333333,12.833333333333334,8.808455533684034,84.30355403718276,61.22920131326088,6.42053333333339,0.041666666666666664,19.6,10.592764826364581,131.26599126107268,73.57916259804368,10.7111416666669,0.2,1.6749999999999972,8.441666666666665,1.6749999999999972
0.012,120,21.191666666666666,11.274821383162672,142.00653636511495,77.16266487638164,12.758325000000244,0.375,13.508333333333333,8.909728609160265,89.13120231095719,61.79128709284462,6.68955833333334,0.025,19.6,10.592764826364581,131.26599126107268,73.57916259804368,10.7111416666669,0.2,1.591666666666665,7.683333333333334,1.591666666666665
0.015,120,19.15,10.718092180980717,128.06969268974294,73.23708599192176,11.651733333333254,0.275,12.833333333333334,8.650947282748223,84.9245130636662,60.46149069575971,6.328433333333255,0.025,19.6,10.592764826364581,131.26599126107268,73.57916259804368,10.7111416666669,0.2,-0.45000000000000284,6.316666666666665,-0.45000000000000284
0.02,120,13.35,9.772111678990711,88.60057235910078,66.64140934733015,8.009224999999928,0.15,11.9,8.887631855561976,77.6624392324324,61.23833473625153,5.562574999999905,0.016666666666666666,19.6,10.592764826364581,131.26599126107268,73.57916259804368,10.7111416666669,0.2,-6.250000000000002,1.4499999999999993,-6.250000000000002
